,,,,,,,,,,,,,,,,,,Minimum Burns from LEO (no Venus flyby),,
Didymos Moonlet,1,S,0,Didymos,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Mars,-1,12:30,2,,
Mars North Pole,10,C,4,Mars,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Atmospheric,Mars,-1,1:30,4,1,
Mars Arsia Mons Caves,10,C,3,Mars,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Atmospheric,Mars,-1,1:45,3,1,
Mars Hellas Basin Buried Glaciers,10,C,4,Mars,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Atmospheric,Mars,-1,1:45,3,1,1
Deimos,1,D,2,Martian Moonlets,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Mars,-1,2:00,3,,
Phobos,1,C,2,Martian Moonlets,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,Mars,-1,2:00,3,,
Eureka,1,D,0,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Mars,-1,3:30,4,,2
Nyx,1,V,1,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Mars,-1,3:30,2,,
Ivar,1,S,0,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Mars,-1,8:45,4,,1
Belenus,1,S,0,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Mars,-1,9:00,3,,
Toro,1,S,0,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Mars,-1,9:15,4,,
Eros,1,S,0,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Mars,-1,12:15,3,,1
Nereus,1,V,1,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Mars,-1,12:30,2,,
Oljato,1,M,3,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Mars,-1,12:45,3,,1
Ariadne,2,S,1,Flora Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Ceres,-2,10:00,3,,1
Gaspra,1,S,0,Flora Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,10:00,3,,
Flora,4,S,1,Flora Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,Ceres,-2,10:30,3,,
Ceres,6,C,4,Gefion Family,FALSE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7,Ceres,-2,1:00,4.5,,
Aegis Moonlet,1,C,3,Gefion Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,1:15,4,,
Gefion,2,S,0,Gefion Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Ceres,-2,1:15,4,,
Miahelena,2,S,1,Gefion Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Ceres,-2,1:15,4,,
Minerva,3,C,3,Gefion Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Ceres,-2,1:15,4,,
Comet Tempel 1,1,D,4,,FALSE,FALSE,Blue,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,1:45,4,,1
Badenia,2,D,2,Hygiea Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Ceres,-2,9:00,3,,
Hygiea,5,C,3,Hygiea Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,Ceres,-2,9:00,3,,
Friederike,2,D,2,Hygiea Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Ceres,-2,9:15,3,,
Karin C,1,S,2,Karin Cluster,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,11:45,2,,1
Karin A,1,S,2,Karin Cluster,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,12:00,2,,1
Karin B,1,S,3,Karin Cluster,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,12:00,2,,1
Alexhelios,1,M,1,Kleopatra,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,9:30,4,,2
Kleopatra,4,M,1,Kleopatra,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,Ceres,-2,9:30,4,,2
Cleoselene,1,M,1,Kleopatra,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,10:00,4,,2
Dactyl Moonlet,1,S,0,Koronis Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,12:00,2,,1
Dresda,2,S,0,Koronis Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Ceres,-2,12:00,2,,1
Ida,2,S,0,Koronis Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Ceres,-2,12:00,2,,1
Neckar,1,S,0,Koronis Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,12:00,2,,1
Koronis,3,S,0,Koronis Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Ceres,-2,12:15,2,,1
Lacrimosa,3,D,0,Koronis Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Ceres,-2,12:15,2,,1
Urda,3,S,0,Koronis Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Ceres,-2,12:30,2,,1
Hermes B,1,S,0,MOID Binary,FALSE,TRUE,Blue,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,8:00,5,,
Hermes A,1,S,0,MOID Binary,FALSE,TRUE,Blue,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,8:15,5,,
Chaucer,1,C,2,Nysa Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,11:00,3,,
Hertha,3,M,3,Nysa Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Ceres,-2,11:00,3,,
Nysa,3,M,0,Nysa Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Ceres,-2,11:15,3,,1
Polana,2,D,1,Nysa Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Ceres,-2,11:15,3,,
Remus Moonlet,1,V,1,Sylvia,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,9:45,4,,1
Romulus Moonlet,1,V,1,Sylvia,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,9:45,4,,1
Sylvia,5,C,2,Sylvia,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,Ceres,-2,10:00,4,,1
Eichsfeldia,4,C,3,Vesta Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,Ceres,-2,1:00,4,,
Peking,1,V,1,Vesta Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,12:30,4,,
Vesta,6,V,2,Vesta Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,Ceres,-2,12:30,4.5,,
Kollaa,1,V,1,Vesta Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,12:45,4,,
Unitas,4,S,1,Vesta Family,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,Ceres,-2,12:45,4,,
Comet Holmes,1,D,4,,FALSE,FALSE,Red,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,1:00,5,,1
Fortuna,5,C,2,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,Ceres,-2,8:30,4,,
Lutetia,4,M,1,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,Ceres,-2,8:30,4,,
Comet Wild 2,1,D,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,8:45,5,,1
Mathilde,1,C,2,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,8:45,5,,1
Comet Wilson-Harrington,1,D,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,9:00,4,,1
Comet Hartley 2,1,D,4,,FALSE,FALSE,Yellow,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,9:15,4,,1
Churynmov-Gerasimenko,1,C,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,10:15,3,,
Comet Elst-Pizarro,1,D,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,10:45,3,,1
Comet Encke,1,V,4,,FALSE,FALSE,Blue,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,10:45,4,,1
Davida,5,C,2,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,Ceres,-2,11:45,4,,1
Comet Borrelly,1,D,4,,FALSE,FALSE,Yellow,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Ceres,-2,12:00,5,,1
Psyche,5,M,1,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,Ceres,-2,12:00,4,,1
Agamemnon,3,C,3,Agamemnon,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Jupiter,-3,8:30,5,,
Agamemnon Moonlet,1,C,3,Agamemnon,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Jupiter,-3,8:30,5,,
Callisto Asgard Ice Spires,8,V,4,Callisto,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,Jupiter,-3,9:30,8,,
Callisto Valhalla,8,C,4,Callisto,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9,Jupiter,-3,9:45,8,,
Europa Conamara Chaos,8,S,4,Europa,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,Jupiter,-3,9:30,10,,1
Europa Subsurface Ocean,8,C,4,Europa,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9,Jupiter,-3,9:30,10,,
Ganymede Memphis Facula,9,S,4,Ganymede,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,Jupiter,-3,9:30,9,,1
Ganymede Uruk Sulcus,9,V,4,Ganymede,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10,Jupiter,-3,9:30,9,,1
Hektor,3,D,3,Hektor,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Jupiter,-3,8:30,5,,1
Skamandrios Moonlet,1,D,3,Hektor,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Jupiter,-3,8:30,5,,
Icarion,1,D,3,Icarion,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Jupiter,-3,9:00,4,,
Philoctetes,1,C,2,Icarion,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Jupiter,-3,9:00,4,,
Io Gish Bar Mons,9,M,1,Io,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10,Jupiter,-3,10:15,10,,1
Io Loki Patera,9,S,0,Io,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10,Jupiter,-3,10:15,10,,1
Elara,3,C,2,Jovian Himalia Moonlets,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Jupiter,-3,10:00,5,,
Himalia,4,C,2,Jovian Himalia Moonlets,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,Jupiter,-3,10:15,5,,
Leda,1,C,2,Jovian Himalia Moonlets,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Jupiter,-3,10:15,5,,
Lysithea,2,C,2,Jovian Himalia Moonlets,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Jupiter,-3,10:30,5,,
Laocoon,1,D,3,Laocoon,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Jupiter,-3,11:45,4,,
Antenor,1,C,2,Laocoon,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Jupiter,-3,12:00,4,,
Menoetius,2,C,3,Patroclus,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Jupiter,-3,12:15,5,,
Glaukos,1,C,3,Patroclus,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Jupiter,-3,12:30,4,,
Patroclus,2,D,3,Patroclus,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Jupiter,-3,12:30,5,,
Telamon,3,C,2,Telamon,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Jupiter,-3,8:30,4,,
Nestor,2,C,3,Telamon,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Jupiter,-3,8:30,4,,
Achilles,2,D,3,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Jupiter,-3,8:30,5,,
Bee-Zed,1,H,4,,FALSE,FALSE,Red,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Jupiter,-3,9:00,14,,
Comet Schwassmann-Wachmann 1,2,D,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,Jupiter,-3,9:15,5,,1
Comet Neujmin 1,1,D,4,,FALSE,FALSE,Blue,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Jupiter,-3,11:00,6,,1
Aeneas,2,D,3,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Jupiter,-3,11:30,5,,1
Tithonus,1,D,2,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Jupiter,-3,11:30,4,,1
Chiron,4,C,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5,Jupiter,-3,12:30,7,,1
Elatus,2,D,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,Jupiter,-3,12:45,6,,1
Calypso,1,S,4,Calypso,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Saturn,-4,8:45,6,1,1
Tethys,5,C,4,"Calypso
Telesto",FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,Saturn,-4,8:45,6,1,1
Helene,1,S,4,Helene,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Saturn,-4,8:30,5,1,1
Polydeuces,1,S,4,Polydeuces,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Saturn,-4,8:30,5,1,1
Dione,6,V,4,"Polydeuces
Helene",FALSE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7,Saturn,-4,8:30,5.5,1,1
Janus,2,C,4,Saturn Inner Satellites,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,Saturn,-4,8:45,9,1,1
Pandora,2,C,4,Saturn Inner Satellites,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,Saturn,-4,8:45,9,1,2
Prometheus,2,C,4,Saturn Inner Satellites,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,Saturn,-4,8:45,9,1,3
Epimetheus,2,C,4,Saturn Inner Satellites,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,Saturn,-4,9:00,9,1,1
Phoebe,3,C,4,Saturnian Norse Moonlets,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Saturn,-4,9:15,6,,
Skoll,1,S,2,Saturnian Norse Moonlets,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Saturn,-4,9:15,6,,
Suttungr,1,D,2,Saturnian Norse Moonlets,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Saturn,-4,9:15,6,,
Thymr,1,D,2,Saturnian Norse Moonlets,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Saturn,-4,9:15,6,,
Ymir,1,D,3,Saturnian Norse Moonlets,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Saturn,-4,9:15,6,,
Telesto,1,S,4,Telesto,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Saturn,-4,8:45,6,1,1
Titan Kraken Mare,9,V,3,Titan,TRUE,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Atmospheric,Saturn,-4,8:30,5,2,2
Titan Ontario Lacus,9,D,2,Titan,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Atmospheric,Saturn,-4,8:30,5,2,1
Rhea,6,V,4,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7,Saturn,-4,8:30,5,1,2
Titan Aerostat,8,C,0,,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Atmospheric,Saturn,-4,8:30,5,1,1
Saturn Aerostat,11,H,0,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Atmospheric,Saturn,-4,8:45,11,2,2
Hyperion,3,D,4,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Saturn,-4,8:45,5,1,1
Enceladus,5,M,4,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6,Saturn,-4,9:00,7,1,2
Iapetus,6,C,4,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,Saturn,-4,9:00,6.5,,
Methone,1,D,4,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,Saturn,-4,9:00,8,1,2
Mimas,4,S,4,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,Saturn,-4,9:00,8,,
Comet Crommelin,1,D,4,,FALSE,FALSE,Yellow,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Saturn,-4,9:15,6,,1
Kreutz Sungrazer,1,H,4,,FALSE,FALSE,Yellow,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Saturn,-4,9:30,8,,1
Echelus,2,D,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,Saturn,-4,10:30,5,,1
Okyrhoe,2,D,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,Saturn,-4,10:45,6,,1
Miranda,4,V,4,Miranda,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,Uranus,-5,9:30,6,2,1
Puck,3,C,4,Miranda,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Uranus,-5,9:30,6,2,1
Juliet,2,V,4,Portia Group,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,Uranus,-5,9:15,6,2,1
Belinda,2,V,4,Portia Group,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,Uranus,-5,9:30,6,2,1
Portia,3,V,4,Portia Group,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,Uranus,-5,9:30,6,2,1
Prospero,2,V,4,Uranus Outer Moons,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Uranus,-5,9:15,6,1,2
Setebos,2,V,4,Uranus Outer Moons,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Uranus,-5,9:15,6,1,2
Sycorax,3,S,4,Uranus Outer Moons,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Uranus,-5,9:15,6,1,2
Chariklo,4,D,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5,Uranus,-5,9:15,7,,1
Cordelia,1,C,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,Uranus,-5,9:15,8,2,2
Uranus Aerostat,11,H,1,,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Atmospheric,Uranus,-5,9:15,6,3,2
Oberon,7,D,4,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8,Uranus,-5,9:30,6,1,1
Titania,7,D,4,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8,Uranus,-5,9:30,6,1,1
Ariel,6,V,4,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7,Uranus,-5,9:45,6,2,1
Asbolus,3,D,4,,FALSE,FALSE,Blue,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,Uranus,-5,9:45,7,,
Hylonome,3,D,4,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,Uranus,-5,9:45,8,,
Umbriel,6,D,4,,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,Uranus,-5,9:45,6,2,1
Comet Halley,1,H,4,,FALSE,FALSE,Red,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Uranus,-5,10:00,9,,1
Pholus,4,D,4,,FALSE,FALSE,Red,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5,Uranus,-5,10:45,8,,
Sawiakera,3,D,4,Cubewano Kuiper Belt,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,Neptune,N/A,10:15,12,,
Teharonhiawako,4,S,4,Cubewano Kuiper Belt,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,Neptune,N/A,10:15,12,,
2002TX,4,D,4,Haumea Family,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,Neptune,N/A,9:45,13,,
1990OY,2,V,4,Haumea Family,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,Neptune,N/A,10:00,13,,
Hi'iaka,4,C,4,Haumea Family,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,Neptune,N/A,10:00,13,,1
Namaka,3,C,4,Haumea Family,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,Neptune,N/A,10:00,13,,1
Haumea,7,V,4,Haumea Family,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8,Neptune,N/A,10:15,13.5,,2
Galatea,3,S,4,Larissa,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,Neptune,N/A,10:00,8,1,2
Larissa,3,D,3,Larissa,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,Neptune,N/A,10:15,8,1,3
Charon,6,D,4,Pluto,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7,Neptune,N/A,9:45,10.5,1,2
Hydra,2,D,4,Pluto,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,Neptune,N/A,9:45,10,1,3
Nix,2,V,4,Pluto,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,Neptune,N/A,9:45,10,1,3
Pluto,7,D,4,Pluto,FALSE,TRUE,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,8,Neptune,N/A,9:45,10,1,2
